Sender,Total Burned (MOOJ),Rank
BVHJC7BNIXZB564D2T3J4HJD7B73CTFOZP5CDJV65QJCIGS24D3HZK353M,6484.31030371,48
SUMO7XBB456AUMSF5DWY42ZNVANU3JIAPGS6W7RHCHS2C2TOYRLHRXDLWQ,6106.67816883,49
TFWSHY5JLWNU4SKHGK33FL3IXF6SZTSKMBO6WWSI726EGRH462BSY4F564,5936.60608295,50
2FL6YRYN3ZS5AAL2PYZU5YWLXLXSHK4KZMVTYWRSPCA2YDWIMQL2CP574Q,5918.6429323,51
YCAPMLQANHERA7Z33UUACC6I5Q5K7WXY4FRDSAZTPQFTQ2RKEAZBXFWIQY,5737.57641748,52
SVSID7CECRWZKBNF7DOTGTFJFXFHJVHD6DV4LEDO57A4CYZARAVMSFGTRA,5736.21791708,53
KXJBRP5BNQ43R46VXMHUZSLZDHB2ODFPNG5NQUL7MENWNLCRFF7C2PADNU,5586.56212499,54
N7Y57N5KAMBNLCMZOOV7NBNXA54MPQPWTB4KVR7XQ43RK2N4K52ASZG7UA,5586.26607085,55
W6ZPLZDT4CT3SANQII53PY6LGZKM7EOR43TO2MBVAMCO7ALWC5VDEIMBGM,5333.6911429,56
Y5UEPEGMIGH3FHXA3R62DTRB5BJXZVLB3HKNKARFDSBIJT34IICGB7GOFU,4614.49306769,57
4NTTXZ4KEELWIMZHM4KFS4SGPRHSA6XZ5LJ65HFC5FT7BJSM2IWREQYMSA,4350.80475122,58
4Q5CP3AKEVRKQF63UZJONXMHUR3L3QYFNTE4ZM2CORCITLQJEL53L75XEM,4202.97954664,59
PTL3W7VCUL6EL7CNWLYUQ7HETO5MP7V3EVVD4SB7BPJY3RYNZK3MSKBWGM,4154.88457972,60
EICLK6X6VXZV52T7GIAMQWPTAHBASWZR5R3CUMPXMYQ7OL6ONZUMO2PAIA,3921.4519312,61
LF6HD4BINVQPM7DW25CRQRGMN2MOUV4HH3BVZF2QQBGVI7T7O4TLCG65U4,3855.49520079,62
TIH3XPDTKZHSIOSNYIPIKGHZSISQXGXEJCSR5PS2WM4QV2SLC5RNMHGRPE,3806.71593923,63
IV2DVJWX4VSPC3Q5FTH4PCXEC3ION54ZBYTDDHTBBADEC2BS3ZSHFNS75A,3754.5686104,64
IZAU22DQRA6BS4B67QI7RWRZ5GW6N5GRPTIQTPXKJVKBS6SHJVFOFCDQN4,3727.78444321,65
KQCO6GGB2P7BJ6IJZOXIYV7FDYA2ACXPZBFGKQIQWE4C23FCVEHJPTQJD4,3708.62360719,66
G7HZO7YGHDHPJPK7KGDDM2YNXI6PVNGJOYSI65LS3KT3FJZ74SWKTIZZ34,3690.33195654,67
MW762IT4U3MGQ2X6ATTYAKCU2G52N3DIO7U7QPK2WREYKWP7NSAOVGOSQI,3394.7367,68
LN3MK3I4XW7SUXELB66QS4P7TUBON67HLZ67G6YXKIHHZ74MSRRVP27DRU,3324.91797053,69
4EDOVXW2CHDGM4X6VRS74B6S5CEZTMHJOXXTJOZI5BWB3KLJ3AMWJWKY4A,3182.5744314900003,70
MR2MNRB7YHGHVIP43XFRK7IBCHQVZWHDPTHFXWAXB7QCKLZGMJNCZKXSY4,3157.8936,71
TJXU3MFEK4PJHQNNR5XBPRIMCYWU3FCS6GYPAMSUFAJ4YUKVNCL5NYV26M,3152.98181314,72
UYOFGINWBJJDRBG65IVBMM4BQJY75LYFZJJ4BX477T3R6BDZNRS33XFIFE,3047.02193506,73
